Dept,FundName,RevenueTableCategory,RevenueSourceName,2017 Actuals,2018 Adopted,2019 Proposed,2020 Proposed
ARTS,Arts and Culture Fund (12400),Admission Tax Allocation,Operating Transfers In - Admission Tax Allocation,,10328191,11550000,11314590
ARTS,Arts and Culture Fund (12400),Facility Operations,Operating Transfers In - LHPAI Rent,,72000,72000,72000
ARTS,Arts and Culture Fund (12400),General Fund,Operating Transfers In - General Fund,,61294,0,0
ARTS,Arts and Culture Fund (12400),Grants and Service Contracts,Direct Fed Grants,,115000,0,0
ARTS,Arts and Culture Fund (12400),Grants and Service Contracts,Mellow Fellowship Payment,,0,0,0
ARTS,Arts and Culture Fund (12400),Misc Revenues,Art in Parks Support from DPR,,0,235000,235000
ARTS,Arts and Culture Fund (12400),Misc Revenues,Interest Earnings,,50000,50000,50000
ARTS,Arts and Culture Fund (12400),Misc Revenues,Interest Increase/Decrease,,0,0,0
ARTS,Arts and Culture Fund (12400),Total Use of/(Contribution to) Fund Balance,Use of/(Contribution to) Fund Balance - Arts and Culture Fund,,-3216604,690731,438765
ARTS,Municipal Arts Fund (12010),1% for Art Revenues,1% Contribution - City Light,,569131,550000,550000
ARTS,Municipal Arts Fund (12010),1% for Art Revenues,1% Contribution - Finance and Admin. Services,,72600,70000,70000
ARTS,Municipal Arts Fund (12010),1% for Art Revenues,1% Contribution - Parks,,140880,145000,145000
ARTS,Municipal Arts Fund (12010),1% for Art Revenues,1% Contribution - Public Utilities,,921546,900000,900000
ARTS,Municipal Arts Fund (12010),1% for Art Revenues,1% Contribution - Seattle Center,,2250,2000,2000
ARTS,Municipal Arts Fund (12010),1% for Art Revenues,1% Contribution - Transportation,,1302928,1300000,1300000
ARTS,Municipal Arts Fund (12010),Misc Revenues,Interest Earnings,,133900,130000,105500
ARTS,Municipal Arts Fund (12010),Misc Revenues,Interest Increase/Decrease,,0,0,0
ARTS,Municipal Arts Fund (12010),Misc Revenues,Miscellaneous Other Revenue,,24000,25000,25000
ARTS,Municipal Arts Fund (12010),Misc Revenues,Operating Transfers In - CRS,,0,0,0
ARTS,Municipal Arts Fund (12010),Public Art Collection Management Fees,Collection Management Fees - City Light,,85843,96839,99234
ARTS,Municipal Arts Fund (12010),Public Art Collection Management Fees,Collection Management Fees - General Fund,,106324,119943,122757
ARTS,Municipal Arts Fund (12010),Public Art Collection Management Fees,Collection Management Fees - Public Utilities,,38620,43567,44644
ARTS,Municipal Arts Fund (12010),Total Use of/(Contribution to) Fund Balance,Use of/(Contribution to) Fund Balance - Municipal Arts Fund,,748701,1862221,2881693
CBLFEE,Cable Television Franchise Fund,"Franchise Fees, Licenses, Permits, and Fines","Franchise Fee Revenues, Licenses, Permits, and Fines",,9351090,8705429,8433321
CBLFEE,Cable Television Franchise Fund,Interest Earnings/Investment Earnings,Interest Earnings,,57024,25390,0
CBLFEE,Cable Television Franchise Fund,Use of (Contributions to) Fund Balance,Use of (Contributions to) Fund Balance,,793846,1428560,1351222
CEN,McCaw Hall Capital Reserve,McCaw Hall Capital Reserve,Interest Earnings,,0,54000,16000
CEN,McCaw Hall Capital Reserve,McCaw Hall Capital Reserve,McCaw Hall Tenant Contributions,,0,290000,299000
CEN,McCaw Hall Capital Reserve,McCaw Hall Capital Reserve,REET Funding for McCaw Hall Capital Reserve,,0,290000,299000
CEN,Seattle Center Fund (11410),Access,FTA Grant for Monorail,,0,1004000,1004000
CEN,Seattle Center Fund (11410),Access,Interfund Loan,,0,0,1517817
CEN,Seattle Center Fund (11410),Access,Local Match for Monorail Grant,,0,251000,251000
CEN,Seattle Center Fund (11410),Administration,Campus Sponsorships,,0,580000,680000
CEN,Seattle Center Fund (11410),Administration,Monorail,,0,5000,5000
CEN,Seattle Center Fund (11410),Use of Fund Balance (Seattle Center Fund),Use of Fund Balance - Seattle Center Fund (11410),,857240,2692765,461200
CEN,Seattle Center KeyArena Fund,KeyArena,KeyArena Concessions,,1166253,0,0
CEN,Seattle Center KeyArena Fund,KeyArena,KeyArena Premium Seating,,825000,0,0
CEN,Seattle Center KeyArena Fund,KeyArena,KeyArena Ticketing,,1966478,0,0
CEN,Seattle Center McCaw Hall Fund,Contribution to Fund Balance - McCaw Hall Fund,Contribution to Fund Balance - McCaw Hall Fund (11430),,0,-452586,-662631
CEN,Seattle Center McCaw Hall Fund,McCaw Hall,McCaw Hall Catering & Concessions,,280166,530000,550000
CEN,Seattle Center McCaw Hall Fund,McCaw Hall,McCaw Hall Reimbursables,,2032002,2207578,2276808
CEN,Seattle Center McCaw Hall Fund,McCaw Hall,McCaw Hall Rent,,310329,537263,535292
CEN,Seattle Center McCaw Hall Fund,McCaw Hall,McCaw Hall Tenant Use Fees,,1324383,1475079,1504581
CEN,Seattle Center McCaw Hall Fund,McCaw Hall,McCaw Hall Tenant Use Fees - Debt,,62875,60500,58125
CRS,REET I Capital Projects Fund,Charges for Service,REET 1,,38297569,40799694,42891049
CRS,REET II Capital Projects Fund,Charges for Service,REET II,,38297869,40799694,42891049
CRS,Unrestricted Cumulative Reserve Fund,Interest Earnings,Interest Earnings,,1600000,2000000,2000000
CRS,Unrestricted Cumulative Reserve Fund,Parking Revenues,Parking Fees,,150000,150000,150000
CRS,Unrestricted Cumulative Reserve Fund,Property Sales,Street Vacation Fees,,495000,1819272,1152000
DEBTSVC,2018 Multipurpose LTGO Bond Fund,Bond Proceeds,2018 Multipurpose LTGO Bond Proceeds,,49309034,0,0
DEBTSVC,2019 Multipurpose LTGO Bond Fund,Bond Proceeds,2019 Multipurpose LTGO Bond Proceeds,,0,27290653,0
DEBTSVC,2019 Multipurpose LTGO Taxable Bond Fund,Bond Proceeds,2019 Multipurpose LTGO Taxable Bond Proceeds,,0,300000,0
DEBTSVC,2020 Multipurpose LTGO Bond Fund,Bond Proceeds,2020 Multipurpose LTGO Bond Proceeds,,0,0,45750814
DEBTSVC,2020 Multipurpose LTGO Taxable Bond Fund,Bond Proceeds,2020 Multipurpose LTGO Taxable Bond Proceeds,,0,0,1776750
DEBTSVC,General Bond Interest and Redemption Fund,BIRF Revenue,Miscellaneous Revenue-Other Revenue,,2428620,2414305,2345447
DEBTSVC,UTGO Bond Interest and Redemption Fund,BIRF Revenue,Real and Personal Property Tax,,30375700,22768800,22761750
DEEL,2011 Families and Education Levy (17857),Levy Programs - FEL,Inv Earn-Residual Cash,,663642,77213,0
DEEL,2011 Families and Education Levy (17857),Levy Programs - FEL,Real & Personal Property Taxes,,33934150,508897,0
DEEL,2011 Families and Education Levy (17857),Levy Programs - FEL,Unreald Gns/Losses-Inv GASB31,,0,0,0
DEEL,FEPP Levy,Levy Programs - FEPP,Inv Earn-Residual Cash,,0,680529,888434
DEEL,FEPP Levy,Levy Programs - FEPP,Real & Personal Property Taxes,,0,84783300,86325205
DEEL,Preschool Services Fund (17861),Levy Programs - SPP,Inv Earn-Residual Cash,,0,0,0
DEEL,Preschool Services Fund (17861),Levy Programs - SPP,Parent Tuition,,2554823,863208,0
DEEL,Preschool Services Fund (17861),Levy Programs - SPP,Real & Personal Property Taxes,,14505565,325543,0
DEEL,Preschool Services Fund (17861),Levy Programs - SPP,Unrealized Gains (Losses),,0,0,0
DPR,2013 King County Parks Levy,2013 King County Parks Levy,King County Parks Levy,,2552000,1660000,0
DPR,2013 King County Parks Levy,Use of/Contribution to Fund Balance,King County Parks Levy,,0,-123000,123000
DPR,Beach Maintenance Fund,Beach Maintenance Fund,Interest Earnings,,25000,25000,25000
DPR,Park and Recreation Fund (10200),Charges for Services,Exhibit Admission Charges,,378972,568972,568972
DPR,Park and Recreation Fund (10200),Charges for Services,Lt Space/Facilities Leases,,820285,934685,1005885
DPR,Park and Recreation Fund (10200),Charges for Services,Recoveries,,1575670,1075670,1075670
DPR,Park and Recreation Fund (10200),Charges for Services,Recreation  Education  Fees,,3953819,4121591,4295262
DPR,Park and Recreation Fund (10200),Charges for Services,Recreation Activities Fees,,11979817,12115654,13949060
DPR,Park and Recreation Fund (10200),Charges for Services,Recreation Shared Revs Arc,,844832,855004,855392
DPR,Park and Recreation Fund (10200),Charges for Services,Resource Recovery Rev,,3416658,3313947,3313947
DPR,Park and Recreation Fund (10200),Charges for Services,St Space Facilities Rentals,,4420943.17,4913833,4956849
DPR,Park and Recreation Fund (10200),Intergovernmental,CDBG - Current Year,,808000,808000,808000
DPR,Park and Recreation Fund (10200),Intergovernmental,Direct Fed Grants,,0,0,0
DPR,Park and Recreation Fund (10200),Intergovernmental,General Government-Other Rev,,5484432,4024132,2524132
DPR,Park and Recreation Fund (10200),Intergovernmental,State Grants,,0,0,0
DPR,Park and Recreation Fund (10200),Miscellaneous Revenue,Building/Oth Space Rent,,72000,72000,72000
DPR,Park and Recreation Fund (10200),Miscellaneous Revenue,Capital Leases & Installment,,0,0,0
DPR,Park and Recreation Fund (10200),Miscellaneous Revenue,Interlocal Grants,,0,0,0
DPR,Park and Recreation Fund (10200),Miscellaneous Revenue,Miscellaneous Revs-Other Rev,,890687,890687,890687
DPR,Park and Recreation Fund (10200),Miscellaneous Revenue,Other Judgments & Settlements,,0,0,0
DPR,Park and Recreation Fund (10200),Miscellaneous Revenue,Other Private Contrib & Dons,,822400,1926400,8775400
DPR,Park and Recreation Fund (10200),Miscellaneous Revenue,Other Rents & Use Charges,,797629,797629,797629
DPR,Park and Recreation Fund (10200),Miscellaneous Revenue,Sales of Other Fixed Assets,,0,0,0
DPR,Park and Recreation Fund (10200),Use of/Contribution to Fund Balance,Park Fund Use of/Contribution to Fund Balance,,3475058,-631315,-1430645
DPR,Seattle Park District Fund,Seattle Park District,Park District Use of/Contribution to Fund Balance,,2105542,2465408,-684592
DPR,Seattle Park District Fund,Seattle Park District,Seattle Park Distict Revenue,,51000332,52091227,53338893
ETH,Election Vouchers Fund,Taxes,Real and Personal Property Tax,,3000000,3000000,3000000
FAS,Central Waterfront Improvement Fund,Use of Fund Balance,Use of Fund Balance,,1880000,2038263,428531
FAS,FileLocal Agency Fund,Services to City Depts,Labor Reimbursement,,385961,444635,444878
FAS,Finance and Administrative Services Fund (50300),External Revenues,CPCS Purchasing Operations,,400000,500000,500000
FAS,Finance and Administrative Services Fund (50300),External Revenues,Fuel Services,,41000,41000,41000
FAS,Finance and Administrative Services Fund (50300),External Revenues,Investment Earning,,223500,223500,223500
FAS,Finance and Administrative Services Fund (50300),External Revenues,NPIS Operations,,557627,915627,915627
FAS,Finance and Administrative Services Fund (50300),General Fund Support,Benaroya,,580146,594071,608328
FAS,Finance and Administrative Services Fund (50300),General Fund Support,City Payroll,,999151,975.66,983.74
FAS,Finance and Administrative Services Fund (50300),General Fund Support,City Policy and Labor Support,,551581,415712.97,416955.27
FAS,Finance and Administrative Services Fund (50300),General Fund Support,Citywide Accounting,,1187532,1410860.92,1425151.41
FAS,Finance and Administrative Services Fund (50300),General Fund Support,Citywide Accounting Director,,306248,216238.98,218538.75
FAS,Finance and Administrative Services Fund (50300),General Fund Support,Citywide IT Services,,844321,0,0
FAS,Finance and Administrative Services Fund (50300),General Fund Support,Citywide Public Records,,611335,0,0
FAS,Finance and Administrative Services Fund (50300),General Fund Support,CPCS Contracting Operations,,867132,579272.37,583859.79
FAS,Finance and Administrative Services Fund (50300),General Fund Support,CPCS Purchasing Operations,,604919,2148.27,1945.26
FAS,Finance and Administrative Services Fund (50300),General Fund Support,Event Management,,198161,143385.66,145297.59
FAS,Finance and Administrative Services Fund (50300),General Fund Support,Human Resources (CPI Charges),,51567,0,0
FAS,Finance and Administrative Services Fund (50300),General Fund Support,NPIS Operations,,341853,396998.68,406154.33
FAS,Finance and Administrative Services Fund (50300),General Fund Support,Real Estate Services,,274791.2,251397.08,254257.4
FAS,Finance and Administrative Services Fund (50300),General Fund Support,SDHR Charges,,0,659177,647344
FAS,Finance and Administrative Services Fund (50300),General Fund Support,Small Department Support,,0,750000,750000
FAS,Finance and Administrative Services Fund (50300),General Fund Support,Sweetened Beverage Tax,,1082000,0,0
FAS,Finance and Administrative Services Fund (50300),Services to City Depts,ADA Program Access Compliance,,0,680575.37,685482.96
FAS,Finance and Administrative Services Fund (50300),Services to City Depts,CIP Support,,0,259668.98,262827.25
FAS,Finance and Administrative Services Fund (50300),Services to City Depts,City Payroll,,872198,2732950.92,2756088
FPEN,Fireman's Pension Fund,Other Revenue,Fire Insurance Premium Tax,,982000,989000,996000
FAS,Finance and Administrative Services Fund (50300),Services to City Depts,Citywide Accounting Director,,251783,882303.68,891681.53
FAS,Finance and Administrative Services Fund (50300),Services to City Depts,Citywide Public Records,,1086487,616629.24,622885.18
FAS,Finance and Administrative Services Fund (50300),Services to City Depts,CPCS Purchasing Operations,,1965016,3217356.01,2912914.74
FAS,Finance and Administrative Services Fund (50300),Services to City Depts,Customer requested tenant improvements,,3500000,3500000,3500000
FAS,Finance and Administrative Services Fund (50300),Services to City Depts,Fleet Administration,,1618166,1286481.44,1304325.1062
FAS,Finance and Administrative Services Fund (50300),Services to City Depts,Fuel Services,,10864774,10492404.19,10516391.69
FAS,Finance and Administrative Services Fund (50300),Services to City Depts,NPIS Operations,,2177328,1723914.46,1763673.11
FAS,Finance and Administrative Services Fund (50300),Services to City Depts,Parking Fees,,786015,1136419,1136419
FAS,Finance and Administrative Services Fund (50300),Services to City Depts,Real Estate Services,,412187,467877.45,473201.16
FAS,Finance and Administrative Services Fund (50300),Services to City Depts,Vehicle Warehouse,,6736978,7315173.46,7490737.72
FAS,Finance and Administrative Services Fund (50300),Use of Fund Balance,Use of Fund Balance,,0,1585046,809471
FAS,Fleet Capital Fund,Services to City Depts,Capital Replacement Program,,17869112,21829848,21829848
FAS,Judgment/Claims Fund (00126),General Fund Support,General Fund Support,,1761854,6761854,8361854
FAS,Judgment/Claims Fund (00126),General Fund Support,Payments from General Government Departments,,7076376,7076376,7076376
FAS,Judgment/Claims Fund (00126),Services to City Depts,Payments from City-Operated Utilities,,7781749,7781749,7781749
FAS,Judgment/Claims Fund (00126),Use of Fund Balance,Use of Fund Balance,,0,0,0
FAS,Wheelchair Accessible Fund,External Revenues,Transportation Network Company Fees,,1531000,2615900,2615900
FBRL,Fiber Leasing Fund,"Move, Add, and Change Fees","Move, Add, and Change Fees",,150000,0,0
FISC-RSRV,Emergency Fund,Operating Transfers In,General fund Contribution,,1542358,1398188,1753708
FISC-RSRV,Revenue Stabilization Fund,Operating Transfers In,General fund Contribution,,3850594,2798924,2667960
FPEN,Firefighters' Pension Actuarial Account,Investment Return,Return on Actuarial Account,,676005,960000,1010000
FPEN,Firefighters' Pension Actuarial Account,Transfer In,Transfer In from Fund 61040,,0,500000,500000
FPEN,Firefighters' Pension Actuarial Account,Use of (Contribution to) Fund Balance,Use of (Contribution to) Fund Balance - Fund 61050,,-676005,-1460000,-1510000
FPEN,Fireman's Pension Fund,General Subfund,General Subfund,,18840000,19079309,19059375
FPEN,Fireman's Pension Fund,Other Revenue,Medicare Rx Subsidy,,425000,425000,425000
FPEN,Fireman's Pension Fund,Use of (Contribution to) Fund Balance,Use of (Contribution to) Fund Balance - Fund 61040,,500000,195000,688000
GSF,General Fund,Admission Tax,Admission Tax,,10464658,11301935,11660859
GSF,General Fund,All Else,Federal Grants - CDBG,,400000,400000,400000
GSF,General Fund,All Else,Other Miscellaneous Revenue,,4964540,4732285,4812663
GSF,General Fund,B&O Tax (100%),Business & Occupation Tax (100%),,268003783,285067441,294591890
GSF,General Fund,Court Fines (100%),Court Fines (100%),,27915250,25863500,25792500
GSF,General Fund,General Property Tax,Property Tax,,260938000,266490000,276997000
GSF,General Fund,Interest Income,Interest on Investments,,5960056,8607143,9361857
GSF,General Fund,Interest Income,Other Interest Earnings,,175000,250000,250000
GSF,General Fund,Interfund Transfers,Transfer from - Other Fund,,7215898,17956503,2890521
GSF,General Fund,Interfund Transfers,Transfer from - Utilities for Council Oversight,,576000,600000,600000
GSF,General Fund,Licenses and Permits,Animal Shelter Licenses & Fees,,2027483,2399581,2375234
GSF,General Fund,Licenses and Permits,Business License Fees (100%),,15443707,17438543,17857068
GSF,General Fund,Licenses and Permits,Emergency Alarm Fees,,1263216,100000,100000
GSF,General Fund,Licenses and Permits,Fire Permits & Fees,,6396727,7405783,7234245
GSF,General Fund,Licenses and Permits,"Other Licenses, Permits & Fees",,1106995,1146725,1146725
GSF,General Fund,Licenses and Permits,Other Non Business Licenses,,1394815,1373035,1371035
GSF,General Fund,Licenses and Permits,Professional & Occupational Licenses (100%),,3161832,5600198,5963824
GSF,General Fund,Licenses and Permits,Street Use Permits,,3075000,2225000,2175000
GSF,General Fund,Licenses and Permits,Vehicle Overload Permits,,240000,280000,260000
GSF,General Fund,Other Resources,Interfund Loans,,9492000,0,0
GSF,General Fund,Other Resources,King County Proceeds,,1000000,0,0
GSF,General Fund,Other Resources,Property Sales,,0,0,4300000
GSF,General Fund,Other Tax,Gambling Tax,,425000,425000,425000
GSF,General Fund,Other Tax,Leasehold Excise Tax,,5500000,5250000,5250000
GSF,General Fund,Other Tax,Pleasure Boat Tax,,120000,125000,125000
GSF,General Fund,Other Tax,Short-term Rental Tax,,0,10500000,10500000
GSF,General Fund,Other Tax,Sweetened Beverage Tax,,14820000,21386205,21920860
GSF,General Fund,Other Tax,Tonnage Tax (100%),,7547037,6439042,6634277
GSF,General Fund,Parking Meters/Meter Hoods,Meter Hood Service,,3570000,3985000,3585000
GSF,General Fund,Parking Meters/Meter Hoods,Parking Meters,,40412000,41133000,41014000
GSF,General Fund,Property Tax - Medic One Levy,Property Tax-Medic One Levy,,49881000,52187000,71212000
GSF,General Fund,Retail Sales Tax,Retail Sales Tax,,239735824,262806064,268077633
GSF,General Fund,Retail Sales Tax - Criminal Justice Levy,Retail Sales Tax  - Criminal Justice,,20045030,22057633,22500082
GSF,General Fund,Revenue from Other Public Entities,Criminal Justice Assistance,,3665000,3715000,3715000
GSF,General Fund,Revenue from Other Public Entities,Federal Grants - CDBG,,1320000,2059358,1534358
GSF,General Fund,Revenue from Other Public Entities,Federal Grants - Other,,246000,188340,188340
GSF,General Fund,Revenue from Other Public Entities,Federal Indirect Grants - Other,,0,0,0
GSF,General Fund,Revenue from Other Public Entities,Interlocal Agreement,,0,0,0
GSF,General Fund,Revenue from Other Public Entities,Liquor Board Profits,,5750000,5950000,5950000
GSF,General Fund,Revenue from Other Public Entities,Liquor Excise Tax,,3150000,3650000,3750000
GSF,General Fund,Revenue from Other Public Entities,Marijuana Excise Tax,,400000,1500000,1500000
GSF,General Fund,Revenue from Other Public Entities,Miscellaneous Interfund Revenue,,20707640,24034468,23870419
GSF,General Fund,Revenue from Other Public Entities,State Grants - Other,,0,3924263,3928335
GSF,General Fund,Revenue from Other Public Entities,Trial Court Improvement Account,,165000,165000,165000
GSF,General Fund,Service Charges & Reimbursements,Adult Probation and Parole (100%),,350000,300000,300000
GSF,General Fund,Service Charges & Reimbursements,Automated Fingerprint Information System  (AFIS),,4504436,4504436,4504436
GSF,General Fund,Service Charges & Reimbursements,Copy Charges,,77509,76009,76009
GSF,General Fund,Service Charges & Reimbursements,E-911 Reimbursements & Cellular Tax Revenue,,3481737,3489422,3497261
GSF,General Fund,Service Charges & Reimbursements,Fire Special Events Services,,1127422,1319983,1302642
GSF,General Fund,Service Charges & Reimbursements,Interfund Revenue to City Budget Office,,1909380,1882651,1873842
GSF,General Fund,Service Charges & Reimbursements,Interfund Revenue to HR,,8337200,17039104,17306796
GSF,General Fund,Service Charges & Reimbursements,Law Enforcement Services,,8088747,6950823,6985949
GSF,General Fund,Service Charges & Reimbursements,Legal Services,,16800,15000,15000
GSF,General Fund,Service Charges & Reimbursements,Municipal Court Cost Recoveries (100%),,375000,300000,300000
GSF,General Fund,Service Charges & Reimbursements,Other Service Charges - General Government,,632436,1028390,1093015
GSF,General Fund,Service Charges & Reimbursements,Personnel Services,,1094000,1102811,1091920
GSF,General Fund,Service Charges & Reimbursements,Vehicle Towing Revenues,,500000,650000,650000
GSF,General Fund,Utilities Business Tax - City Light (100%),Utilities Business Tax - City Light (100%),,54723938,58010258,60148042
GSF,General Fund,Utilities Business Tax - City Water (100%),Utilities Business Tax - City Water (100%),,32966409,33924560,35043499
GSF,General Fund,Utilities Business Tax - DWU (100%),Utilities Business Tax - Drainage/Waste Water (100%),,49603152,51115035,55419808
GSF,General Fund,Utilities Business Tax - Natural Gas (100%),Use Tax - Brokered Natural Gas,,1332725,1479110,1515647
GSF,General Fund,Utilities Business Tax - Natural Gas (100%),Utilities Business Tax - Natural Gas (100%),,11212851,11788534,12114146
GSF,General Fund,Utilities Business Tax - Other Private (100%),Utilities Business Tax - Cable Television (100%),,18751572,16131135,15630261
GSF,General Fund,Utilities Business Tax - Other Private (100%),Utilities Business Tax - Steam (100%),,1273997,1349792,1389740
GSF,General Fund,Utilities Business Tax - SWU & priv.garb. (100%),Utilities Business Tax - City SWU (100%),,20134768,20622002,21502149
GSF,General Fund,Utilities Business Tax - SWU & priv.garb. (100%),Utilities Business Tax - Solid Waste (100%),,1250000,1650000,1800000
GSF,General Fund,Utilities Business Tax - Telephone (100%),Utilities Business Tax - Telephone (100%),,21093755,20133114,19482067
HSD,Human Services Fund (16200),Contrib/Priv Sources,City of Seattle / Citizen Kao Private Donation,,0,0,0
HSD,Human Services Fund (16200),Contrib/Priv Sources,City of Seattle / Ordinance #120907 / Sex Industry Victims Fund - Care and Treatment for Sex Industry Workers,,92662,0,0
HSD,Human Services Fund (16200),Federal Grants - Direct,US Department of Education (DOE) / Upward Bound,,460141,460140,460140
HSD,Human Services Fund (16200),Federal Grants - Direct,US Department of Homeland Security (FEMA) / Urban Area Security Initiative,,120000,120000,120000
HSD,Human Services Fund (16200),Federal Grants - Direct,US Dept of Housing & Urban Development (HUD) / Community Development Block Grant (CDBG),,0,7657615,4941166
HSD,Human Services Fund (16200),Federal Grants - Direct,US Dept of Housing & Urban Development (HUD) / Emergency Shelter Grants Program (ESGP),,778857,778857,778857
HSD,Human Services Fund (16200),Federal Grants - Direct,US Dept of Housing & Urban Development (HUD) / Housing Opportunities for People with AIDS (HOPWA) Grant,,2012100,2012100,2012100
HSD,Human Services Fund (16200),Federal Grants - Direct,US Dept of Housing & Urban Development (HUD) / McKinney Grant,,14123537,14237917,14240927
HSD,Human Services Fund (16200),Federal Grants - Direct,US Dept of Justice (DOJ) / Grants to Encourage Arrest Policies (GEAP),,398682,0,0
HSD,Human Services Fund (16200),Federal Grants - Direct,US Dept of Justice (DOJ) / Office of Justice / DOJ National Forum on Youth Violence,,0,0,0
HSD,Human Services Fund (16200),Federal Grants - Indirect,US Dept of Housing & Urban Development (HUD) / Community Development Block Grant (CDBG),,4809251,0,0
HSD,Human Services Fund (16200),Federal Grants - Indirect,US Dept of Housing & Urban Development (HUD) / King County / McKinney Grant,,50000,0,0
HSD,Human Services Fund (16200),Federal Grants - Indirect,US Dept of Housing & Urban Development (HUD) / Seattle Housing Authority (SHA) Client Case Management,,385000,393500,396400
HSD,Human Services Fund (16200),Federal Grants - Indirect,WA Dept of Social & Health Services (DSHS) / Administration on Aging (AoA) - Nutritional Services Incentive Program (NSIP),,647308,640135,640135
HSD,Human Services Fund (16200),Federal Grants - Indirect,WA Dept of Social & Health Services (DSHS) / ADRC Enhanced Options Cnslng,,0,0,0
