Dept,FundName,RevenueTableCategory,RevenueSourceName,2017 Actuals,2018 Adopted,2019 Proposed,2020 Proposed
HSD,Human Services Fund (16200),Federal Grants - Indirect,WA Dept of Social & Health Services (DSHS) / Chronic Disease Self-Mgmt,,45079,51002,51002
HSD,Human Services Fund (16200),Federal Grants - Indirect,WA Dept of Social & Health Services (DSHS) / Federal-for Medicare beneficiary outreach and assistance,,30938,0,0
HSD,Human Services Fund (16200),Federal Grants - Indirect,WA Dept of Social & Health Services (DSHS) / Health Home Community Health Promotion,,0,65000,65000
HSD,Human Services Fund (16200),Federal Grants - Indirect,WA Dept of Social & Health Services (DSHS) / Health Home Full Life Care,,524817,300000,300000
HSD,Human Services Fund (16200),Federal Grants - Indirect,WA Dept of Social & Health Services (DSHS) / Health Homes,,0,0,0
HSD,Human Services Fund (16200),Federal Grants - Indirect,WA Dept of Social & Health Services (DSHS) / Health Homes Amerigroup,,591815,150000,150000
HSD,Human Services Fund (16200),Federal Grants - Indirect,WA Dept of Social & Health Services (DSHS) / Medicaid Transformation Demonstration,,1057921,1980095,2849523
HSD,Human Services Fund (16200),Federal Grants - Indirect,WA Dept of Social & Health Services (DSHS) / Older Americans Act (OAA) - Elder Abuse Prevention,,17886,17886,17886
HSD,Human Services Fund (16200),Federal Grants - Indirect,WA Dept of Social & Health Services (DSHS) / State Portion-Title XIX New FD,,289879,298575,307532.649
HSD,Human Services Fund (16200),Federal Grants - Indirect,WA Dept of Social & Health Services (DSHS) / Title III-B - Older Americans Act (OAA) Supportive Services,,2258212,2150913,2150913
HSD,Human Services Fund (16200),Federal Grants - Indirect,WA Dept of Social & Health Services (DSHS) / Title III-C-1 - Older Americans Act (OAA) Congregate meals,,1750476,1902331,1902331
HSD,Human Services Fund (16200),Federal Grants - Indirect,WA Dept of Social & Health Services (DSHS) / Title III-C-2 - Older Americans Act (OAA) Home delivered meals,,869337,947958,947958
HSD,Human Services Fund (16200),Federal Grants - Indirect,WA Dept of Social & Health Services (DSHS) / Title III-D - Older Americans Act (OAA) Health promotion,,100509,102866,102866
HSD,Human Services Fund (16200),Federal Grants - Indirect,WA Dept of Social & Health Services (DSHS) / Title III-E - Older Americans Act (OAA) National Family Caregiver,,762154,770466,770466
HSD,Human Services Fund (16200),Federal Grants - Indirect,WA Dept of Social & Health Services (DSHS) / Title XIX,,716310,737798,759932.2624
HSD,Human Services Fund (16200),Federal Grants - Indirect,WA Dept of Social & Health Services (DSHS) / Title XIX - Medicaid Administrative Claiming,,976135,976135,976135
HSD,Human Services Fund (16200),Federal Grants - Indirect,WA Dept of Social & Health Services (DSHS) / Title XIX - Medicaid Case Mgmt,,9999999,10300000,10609000.619
HSD,Human Services Fund (16200),Federal Grants - Indirect,WA Dept of Social & Health Services (DSHS) / Title XIX - Medicaid Home Care Worker Orientation for IP,,125000,166497,189807
HSD,Human Services Fund (16200),Federal Grants - Indirect,WA Dept of Social & Health Services (DSHS) / Title XIX - Medicaid Home Care Worker Training Wages,,1277682,1798820,2050655
HSD,Human Services Fund (16200),Federal Grants - Indirect,WA Dept of Social & Health Services (DSHS) / Title XIX - Medicaid Nurse Delegation,,11831,9232,10524
HSD,Human Services Fund (16200),Federal Grants - Indirect,WA Dept of Social & Health Services (DSHS) / US Dept of Agriculture (USDA) / Senior Farmers Market Nutrition,,5701,4762,4794
HSD,Human Services Fund (16200),Federal Grants - Indirect,WA Office of Superintendent of Public Instruction (OSPI) / Child and Adult Care Food Program,,1201650,1380720,1380720
HSD,Human Services Fund (16200),Federal Grants - Indirect,WA Office of Superintendent of Public Instruction (OSPI) / Summer Food Service Program,,517000,517000,517000
HSD,Human Services Fund (16200),Federal Grants - Indirect,WA State Dept. of Social and Health Services (DSHS)/Dementia Capable Systems Grant,,0,0,0
HSD,Human Services Fund (16200),Fund Balance,Fund Balance,,3998023,145666,149594
HSD,Human Services Fund (16200),IF Administrative Fees & Charges,City of Seattle / Department of Education and Early Learning / FEPP Levy,,0,178500,178500
HSD,Human Services Fund (16200),IF Administrative Fees & Charges,City of Seattle / Emergency Assistance Program,,42410,42410,42410
HSD,Human Services Fund (16200),IF Administrative Fees & Charges,City of Seattle / Office of Housing (OH) / Housing Levy,,1965714,1790714,1790714
HSD,Human Services Fund (16200),IF Administrative Fees & Charges,City of Seattle / Ordinance #120443 / Transfer Development Rights - Child Care Bonus,,0,500771,501245
HSD,Human Services Fund (16200),IF Administrative Fees & Charges,City of Seattle / Ordinance #120907 / Sex Industry Victims Fund - Care and Treatment for Sex Industry Workers,,0,92662,92662
HSD,Human Services Fund (16200),IF Administrative Fees & Charges,City of Seattle / RCW 9A.88.14 / Sexual Abuse for Minors,,32500,32500,32500
HSD,Human Services Fund (16200),IF Administrative Fees & Charges,City of Seattle / Utility Discount Program,,1602045,1602045,1602045
HSD,Human Services Fund (16200),IF Administrative Fees & Charges,Seattle Department of Transportation / Vehicle Licensing Fee & ORCA LIFT,,207000,207000,207000
HSD,Human Services Fund (16200),Interlocal Grants,City of Seattle / Seattle Fire Department / Low Acuity Alarm Program,,96933,96933,96933
HSD,Human Services Fund (16200),Interlocal Grants,King County / Community Shuttle Transportation,,304480,304480,304480
HSD,Human Services Fund (16200),Interlocal Grants,King County / Human Services Levy - Age Friendly Housing Initiative,,0,0,0
HSD,Human Services Fund (16200),Interlocal Grants,King County / Human Services Levy - Navigation Center,,0,1000000,1000000
HSD,Human Services Fund (16200),Interlocal Grants,King County / Human Services Levy - Program to Encourage Active Rewarding Lives for Seniors (PEARLS),,178000,356000,356000
HSD,Human Services Fund (16200),Interlocal Grants,King County / Human Services Levy - Veteran Case Management,,178000,0,0
HSD,Human Services Fund (16200),Interlocal Grants,King County / Vulnerable Population Init,,0,0,0
HSD,Human Services Fund (16200),Interlocal Grants,Public Health Seattle & King County/ Partnerships to Improve Community Health (PICH),,0,0,0
HSD,Human Services Fund (16200),Interlocal Grants,"University of Washington, School of Washington / NW Geriarics Workforce Enhance",,45051,95367,95367
HSD,Human Services Fund (16200),Interlocal Grants,Western Health Providence / Western Health Connect,,0,32244,32244
HSD,Human Services Fund (16200),Investment Income,WA Dept of Social & Health Services (DSHS) / Interest - State Cash Advance,,19000,19000,19000
HSD,Human Services Fund (16200),State Grants,WA Dept of Social & Health Services (DSHS) / Administration on Aging (AoA) - Care Consultation Svcs for Veteran Directed Home Svcs,,25000,25000,25000
HSD,Human Services Fund (16200),State Grants,WA Dept of Social & Health Services (DSHS) / Kinship Care Navigator,,84785,86518,86518
HSD,Human Services Fund (16200),State Grants,WA Dept of Social & Health Services (DSHS) / Kinship Care Support,,182031,185704,185704
HSD,Human Services Fund (16200),State Grants,WA Dept of Social & Health Services (DSHS) / Medicaid Transformation Demonstration - Carryforward,,0,300000,300000
HSD,Human Services Fund (16200),State Grants,WA Dept of Social & Health Services (DSHS) / Office of Refugee & Immigrant Administration (ORIA) - New Citizenship Initiative (NCI),,0,0,0
HSD,Human Services Fund (16200),State Grants,WA Dept of Social & Health Services (DSHS) / Prescription Drugs Information & Assistance,,17560,17560,17560
HSD,Human Services Fund (16200),State Grants,WA Dept of Social & Health Services (DSHS) / Respite Home Care Workers' Health Care Insurance & Training,,28382,38436,43817
HSD,Human Services Fund (16200),State Grants,WA Dept of Social & Health Services (DSHS) / Respite-AWHI,,177849,231795,264246
HSD,Human Services Fund (16200),State Grants,WA Dept of Social & Health Services (DSHS) / Senior Citizens Service Act (SCSA),,2136051,2184045,2184045
HSD,Human Services Fund (16200),State Grants,WA Dept of Social & Health Services (DSHS) / Senior Farmers Market Nutrition - State Portion,,21367,22391,22408
HSD,Human Services Fund (16200),State Grants,WA Dept of Social & Health Services (DSHS) / Senior Nutrition,,0,165279,165279
HSD,Human Services Fund (16200),State Grants,WA Dept of Social & Health Services (DSHS) / State Family Caregivers,,3104460,3161869,3161869
HSD,Human Services Fund (16200),State Grants,WA Dept of Social & Health Services (DSHS) / Title XIX - Carryforward,,252658,500000,500000
HSD,Human Services Fund (16200),State Grants,WA Dept of Social & Health Services (DSHS) / Title XIX - New Freedom,,289879,298575,307532.649
HSD,Human Services Fund (16200),State Grants,WA Dept of Social & Health Services (DSHS) / Title XIX Core Services - State Portion,,716309,737798,759932.2624
HSD,Human Services Fund (16200),State Grants,WA Dept of Social & Health Services (DSHS) / Title XIX Medicaid Case Mgmt - State Portion,,10000000,10300001,10608999.5581
HSD,Human Services Fund (16200),State Grants,WA Dept of Transportation (WSDOT) / Community Shuttle Transportation,,245520,245520,245520
HSD,Human Services Fund (16200),State Grants,WA Dept of Transportation / WSDOT Funds,,0,0,0
ITD,Information Technology Fund (50410),Allocation,Rates: Allocated,,0,206269923.6244,179347515.6633
ITD,Information Technology Fund (50410),Direct Billed,Rates: Direct Billed,,0,57864193.8441,54545229.7757
ITD,Information Technology Fund (50410),External Revenues,Other Miscellaneous Revenues,,0,0,0
ITD,Information Technology Fund (50410),Interest Earnings,Interest Earnings,,0,366105,464492
ITD,Information Technology Fund (50410),LTGO Bonds,LTGO Bonds,,0,17166031,22978141
OH,Low-Income Housing Fund (16400),Low-Income Housing Fund Revenues,Bonus/MHA Capital,,18000000,18000000,18000000
OH,Low-Income Housing Fund (16400),Low-Income Housing Fund Revenues,Federal Grants - Weatherization,,632734,1000000,1000000
OH,Low-Income Housing Fund (16400),Low-Income Housing Fund Revenues,Federal Grants-HOME Program,,2262246,2968574,2968574
OH,Low-Income Housing Fund (16400),Low-Income Housing Fund Revenues,Investment Earnings,,2000000,2000000,2000000
OH,Low-Income Housing Fund (16400),Low-Income Housing Fund Revenues,Local Grants-Weatherization,,1665000,1707000,1750000
OH,Low-Income Housing Fund (16400),Low-Income Housing Fund Revenues,Program Income,,4000000,4000000,4000000
OH,Low-Income Housing Fund (16400),Low-Income Housing Fund Revenues,Property Tax Levy,,37862143,37862143,37862143
OH,Low-Income Housing Fund (16400),Low-Income Housing Fund Revenues,State Grants - Weatherization,,975000,600000,600000
OH,Low-Income Housing Fund (16400),Low-Income Housing Fund Revenues,Use of (Contribution To) Fund Balance,,-7459077,-8549701,-8592701
OH,Office of Housing Fund (16600),General Fund,General Subfund,,468740,0,0
OH,Office of Housing Fund (16600),Operating Fund Revenues,Bonus/MHA Administration,,2000000,2000000,2000000
OH,Office of Housing Fund (16600),Operating Fund Revenues,City Light Administration,,775000,795000,815000
OH,Office of Housing Fund (16600),Operating Fund Revenues,Federal Grants-Weatherization,,753226,750000,750000
OH,Office of Housing Fund (16600),Operating Fund Revenues,HOME Administration,,226224,329842,329842
OH,Office of Housing Fund (16600),Operating Fund Revenues,Levy Administration,,3566429,3566429,3566429
OH,Office of Housing Fund (16600),Operating Fund Revenues,MFTE application fees,,160000,200000,200000
OH,Office of Housing Fund (16600),Operating Fund Revenues,Miscellaneous Revenue,,0,0,0
OH,Office of Housing Fund (16600),Operating Fund Revenues,State Grants-Weatherization,,232000,250000,250000
OH,Office of Housing Fund (16600),Operating Fund Revenues,Use of (Contribution To) Fund Balance,,-620042,-366936,-350247
OLS,Office of Labor Standards Fund (00190),General Fund Transfer,General Fund Transfer,,5698216,6599133,6657303
PPEN,Police Relief & Pension Fund,General Subfund,General Subfund,,21771140,21937217.56,21936724.0912
PPEN,Police Relief & Pension Fund,Other Revenue,Medicare Rx Subsidy,,400000,400000,400000
PPEN,Police Relief & Pension Fund,Other Revenue,Police Auction Proceeds,,117000,117000,117000
RET,Employees' Retirement Fund,Contributions,Employee Contributions,,7636225,8317796,8245369
RET,Employees' Retirement Fund,Contributions,Employer Contributions,,11595184,12630112,12520137
SCL,Light Fund,Other,Account Change Fees,,1584316.9831,1886791.1901,1896225.146
SCL,Light Fund,Other,BPA Credit for South Fork Tolt,,3163145.3939,3106613.2018,3051490.058
SCL,Light Fund,Other,BPA Payments for Conservation Deferred,,10000000,2000000,9000000
SCL,Light Fund,Other,Capital Fees and Grants,,110599.7636,112781.9053,115659.8673
SCL,Light Fund,Other,Construction & Miscellaneous Charges,,197897.2746,43728.8708,43947.5151
SCL,Light Fund,Other,Contributions in Aid of Construction,,36882215,33846475.8388,35535748.6536
SCL,Light Fund,Other,Federal Subsidies of Interest Payments on Debt,,5970261.54,5970261.54,5970261.54
SCL,Light Fund,Other,Interest Earnings,,8425448.9718,8327666.8465,9400619.0925
SCL,Light Fund,Other,Late Payment Fees,,3925515.325,2898842.4063,2913336.6183
SCL,Light Fund,Other,North Mountain Substation (Snohomish PUD),,416386.0094,423960.5927,432137.4988
SCL,Light Fund,Other,Operating Grants,,0,0,0
SCL,Light Fund,Other,Other O&M Revenue,,7904024.7177,6805688.9243,6839717.3689
SCL,Light Fund,Other,Pole Attachments,,2406453.7539,2672069.548,2685429.8957
SCL,Light Fund,Other,Property Rentals,,2655072.4119,2550945.7087,2563700.4373
SCL,Light Fund,Other,Reconnect Charges,,1144971.4716,128962.012,129606.8221
SCL,Light Fund,Other,Revenue From Damage,,1693213.5552,984681.1941,989604.6001
SCL,Light Fund,Other,"Sale of Property, Material & Equip.",,0,0,0
SCL,Light Fund,Other,Suburban Undergrounding,,1503262,1580171,1661016
SCL,Light Fund,Other,Transmission Attach. & Cell Sites,,1482239.7415,1694680.1021,1703153.5026
SCL,Light Fund,Other,Transmission Sales,,3000000,3000000,3000000
SCL,Light Fund,Other,Water Heater & Miscellaneous Rentals,,162350.2107,162018.1709,162828.2617
SCL,Light Fund,Retail Revenue,Energy Sales to Customers,,879759170.9172,920004829.0953,966735309.3457
SCL,Light Fund,Retail Revenue,Seattle Green Power/GreenUp/Community Solar,,1571419.9961,1606778.603,2106869.1694
SCL,Light Fund,Wholesale Sales,Article 49 Sale to Pend Oreille Country,,2124725.0004,2175169.1328,2224055.805
SCL,Light Fund,Wholesale Sales,Basis Sales,,1000000,1000000,1000000
SCL,Light Fund,Wholesale Sales,Other Power Related Services,,5557499.9995,7204155.9995,4557500
SCL,Light Fund,Wholesale Sales,Sales from Priest Rapids,,1989728.0004,1603000.1352,1508453.643
SCL,Light Fund,Wholesale Sales,Surplus Energy Sales,,84456686,72776182.4514,67776182.4514
SDCI,Construction and Inspections Fund,Grants & MOAs,Grant Revenues,,0,0,0
SDCI,Construction and Inspections Fund,Grants & MOAs,SPU MOA for Side Sewer & Drainage,,1200000,1200000,1200000
SDCI,Construction and Inspections Fund,Installation & Inspection Fees,Boiler,,1252000,1415099,1443401.0385
SDCI,Construction and Inspections Fund,Installation & Inspection Fees,Elevator,,3844000,4500275,4635283.6059
SPL,Library Fund (10410),Library Fund,Sale of Fixed Assets,,55000,0,0
SDCI,Construction and Inspections Fund,Installation & Inspection Fees,Refrigeration & Furnace,,0,1245975,1263003
SDCI,Construction and Inspections Fund,Interest,Interest,,343382,1176338,1176338
SDCI,Construction and Inspections Fund,Other Revenues,Other Miscellaneous Revenues,,2083692,935947,946507.9895
SDCI,Construction and Inspections Fund,Other Revenues,Rental Registration & Inspection Ordinance,,544000,1979777,1837222
SDCI,Construction and Inspections Fund,Permit Fees,Building Development,,36260000,37882492,37877884.9342
SDCI,Construction and Inspections Fund,Permit Fees,Contingent Revenues-Unaccessed,,8064477,8064477,8064477
SDCI,Construction and Inspections Fund,Permit Fees,Electrical,,7940000,7675307,7725265.8092
SDCI,Construction and Inspections Fund,Permit Fees,Land Use,,9063000,10730522,10899913.6916
SDCI,Construction and Inspections Fund,Permit Fees,Noise,,0,327642,332463
SDCI,Construction and Inspections Fund,Permit Fees,Signs,,0,567289,584307
SDCI,Construction and Inspections Fund,Permit Fees,Site Review & Development,,2803000,3817510,3891328.725
SDCI,Construction and Inspections Fund,Use of Fund Balance,Use of (Contribution To) Fund Balance,,6728700,-5324529,-4866271
SDHR,Group Term Life Fund (10113),Dept. Contributions,Dept. Contributions - GTL,,600715,539318.3506,550104.7176
SDHR,Group Term Life Fund (10113),Dept. Contributions,Dept. Contributions - LTD,,258260,249262.2695,254247.5149
SDHR,Group Term Life Fund (10113),Employee Contributions,Employee Contributions - GTL,,3829452,3502379.5947,3572427.1866
SDHR,Group Term Life Fund (10113),Employee Contributions,Employee Contributions - LTD,,2303088,2224513.2779,2269003.5435
SDHR,Group Term Life Fund (10113),Miscellaneous,Interest,,16914.66,17253.3,17598.366
SDHR,Group Term Life Fund (10113),Miscellaneous,Unrealized Gain/(Losses),,0,0,0
SDHR,Group Term Life Fund (10113),Use of (Contribution to) Fund Balance,GTL/LTD - Use of (Contribution to) Fund Balance,,-16914.66,-17253.3,-17598.366
SDHR,Health Care Fund (10112),Dept. Contributions,Healthcare - Dept Contributions,,202398527,208155172,221486325
SDHR,Health Care Fund (10112),Employee Contributions,Healthcare - Employee Contributions,,25777642,28527322,29492822
SDHR,Health Care Fund (10112),Miscellaneous,Healthcare - Other Funding,,2854291,2911377,2909004
SDHR,Health Care Fund (10112),Use of (Contribution to) Fund Balance,Healthcare - Use of (Contribution to) Fund Balance,,-4200602,459677,-3094951
SDHR,Industrial Insurance Fund (10110),Dept. Contributions,Ind. Ins. Dept Contributions,,21578899,23266654,23795027
SDHR,Industrial Insurance Fund (10110),Miscellaneous,Ind. Ins. Miscellaneous,,0,0,0
SDHR,Industrial Insurance Fund (10110),Use of (Contribution to) Fund Balance,Ind. Ins. - Use of (Contribution to) Fund Balance,,500000,0,0
SDHR,Unemployment Insurance Fund (10111),Dept. Contributions,Unemployment - Dept Contributions,,1657075.7054,2130000,2130000
SDHR,Unemployment Insurance Fund (10111),Use of (Contribution to) Fund Balance,Unemployment -Use of (Contribution to) Fund Balance,,0,0,0
SDOT,Central Waterfront Improvement Fund,Central Waterfront Fund,Lid Bond Proceeds,,1410000,6964092,19135119
SDOT,Central Waterfront Improvement Fund,Central Waterfront Fund,Other Private Contrib & Dons,,0,4925000,11955221
SDOT,Move Seattle Levy Fund,Move Seattle Fund,Move Seattle Levy,,97721508,99761934.9728,101844965.6714
SDOT,Move Seattle Levy Fund,Use of Fund Balance,Move Seattle Levy,,18109459,48020093,21121846
SDOT,School Safety Traffic and Pedestrian Improvement Fund,School Safety and Pedestrian Improvements,Parking Infraction Penalties,,8518000,9422689,8838522
SDOT,School Safety Traffic and Pedestrian Improvement Fund,Use of Fund Balance,Use of Fund Balance,,-1753354,7556301,317998
SDOT,Transportation Benefit District Fund,Transp Benefit District Fund,Sales & Use Tax,,27070380,29032415,29785466
SDOT,Transportation Benefit District Fund,Transp Benefit District Fund,Trans Ben Dist. Vehicle Fee $20,,8479647,8242287,8386527
SDOT,Transportation Benefit District Fund,Transp Benefit District Fund,Trans Ben Dist. Vehicle Fee $60,,24301583,24726860.5753,25159580.6354
SDOT,Transportation Benefit District Fund,Use of Fund Balance,Use of Fund Balance,,968830,-1108964,2322568
SDOT,Transportation Fund,Transportation Fund,Administrative Fees & Charges,,3951149,2487045.3558,3085576.8548
SDOT,Transportation Fund,Transportation Fund,Annual Fees Rev,,1946000,1054269.8376,999930.7428
SDOT,Transportation Fund,Transportation Fund,Architect/Engineering Svc Chrg,,17222000,10840364.4401,13449202.9009
SDOT,Transportation Fund,Transportation Fund,B&O Tax-Commercial Parking,,44990919,47010380,48771979
SDOT,Transportation Fund,Transportation Fund,Ind Fed Grants,,36892194,32978330,62498042
SDOT,Transportation Fund,Transportation Fund,Long-Term Intergovtl Loan Proc,,0,5197894.07,3802106
SDOT,Transportation Fund,Transportation Fund,Mtr Veh Fuel Tx-St Improvement,,12964909,14333080.88,14476411.6888
SDOT,Transportation Fund,Transportation Fund,Multimodal Transportation Dist,,677791,1007952,1007952
SDOT,Transportation Fund,Transportation Fund,Nonbus Lic&Perm-Issuance,,6241000,3664790.101,3475899.7718
SDOT,Transportation Fund,Transportation Fund,Nonbus Lic&Perm-Oth Street Use,,1902197,1958691.0934,1863055.8095
SDOT,Transportation Fund,Transportation Fund,Nonbus Lic&Perm-Other,,2274170,2971013.69,3060144.1007
SDOT,Transportation Fund,Transportation Fund,Nonbus Lic&Perm-Penalties,,336000,17725.6645,16812.0497
SDOT,Transportation Fund,Transportation Fund,Nonbus Lic&Perm-Renewal,,744300,957843.8664,908474.7516
SDOT,Transportation Fund,Transportation Fund,Other Private Contrib & Dons,,250000,250000,0
SDOT,Transportation Fund,Transportation Fund,Partnership - BNSF,,0,0,2500000
SDOT,Transportation Fund,Transportation Fund,Partnership - Port of Seattle,,0,6000000,2000000
SDOT,Transportation Fund,Transportation Fund,Partnership - Sound Transit,,0,4252866,3569062
SDOT,Transportation Fund,Transportation Fund,Partnership - WSDOT,,0,32186792.54,72850000
SDOT,Transportation Fund,Transportation Fund,Partnership-King County,,0,200000,0
SDOT,Transportation Fund,Transportation Fund,Plan Review & Inspection,,10425000,10824110.6682,10266215.1897
SDOT,Transportation Fund,Transportation Fund,Proceeds-Countywide Tax Levy,,1667912,1684591.12,1701437.0312
SDOT,Transportation Fund,Transportation Fund,Sales Of Land & Buildings,,0,20911272,9700000
SDOT,Transportation Fund,Transportation Fund,State Grants,,10560974,17210295,13587717
SDOT,Transportation Fund,Transportation Fund,Street Maintenance & Repair,,1974992.53,1243156.3577,1542333.9487
SDOT,Transportation Fund,Transportation Fund,Street Occupation Rev,,997600,2117779.1695,1978068.759
SDOT,Transportation Fund,Transportation Fund,Street Use Rev,,16351200,24438080.4795,23178494.8176
SDOT,Transportation Fund,Transportation Fund,Transportation Admin Svcs Rev,,115400,72638.3728,90119.4992
SDOT,Transportation Fund,Transportation Fund,Transportation-Other Rev,,33166399,50239728.7237,21346258.6498
SDOT,Transportation Fund,Use of Fund Balance,Use of Fund Balance,,-2868631,-2401814,35323488
SPL,2012 Library Levy Fund (18100),2012 Library Levy Fund,2012 Library Levy,,13616208,15989000,0
SPL,2012 Library Levy Fund (18100),2012 Library Levy Fund,2012 Library Levy Major Maintenance,,4072000,2658907,0
SPL,2012 Library Levy Fund (18100),2012 Library Levy Fund,Interest Earnings,,100000,47000,0
SPL,2012 Library Levy Fund (18100),2012 Library Levy Fund,Use of (Contribution To) Fund Balance,,-3639126,-3700182,0
SPL,Library Fund (10410),Library Fund,Cable Franchise Fees,,642000,645000,647500
SPL,Library Fund (10410),Library Fund,Coffee Cart,,4000,4000,4500
SPL,Library Fund (10410),Library Fund,Copy and Pay for Print,,235000,235000,235000
SPL,Library Fund (10410),Library Fund,Fines and Fees,,1288000,1242000,1200000
SPL,Library Fund (10410),Library Fund,General Subfund Support,,53912040,54966045,55041816
SPL,Library Fund (10410),Library Fund,Misc. Revenue,,2000,2000,2500
SPL,Library Fund (10410),Library Fund,Neighborhood Service Center Co-Location (DON),,0,3500,3575
SPL,Library Fund (10410),Library Fund,Neighborhood Service Center Co-Location (FAS),,0,22050,22475
SPL,Library Fund (10410),Library Fund,Operating Transfer In (2012 Library Levy),,4827960,4972799,0
SPL,Library Fund (10410),Library Fund,Parking Revenue,,365000,350000,350000
SPL,Library Fund (10410),Library Fund,Proceeds from Property Sale,,2855000,0,0
SPL,Library Fund (10410),Library Fund,Space Rentals,,185000,185000,187000
SPL,Library Fund (10410),Library Fund,Use of (Contribution To) Fund Balance,,2235175,25752,5092515
SPU,Drainage and Wastewater Fund,Drainage and Wastewater Fund,GIS (N2419),,0,2869592.3595,2948227.8776
SPU,Drainage and Wastewater Fund,Drainage and Wastewater Fund,King County Reimbursement,,0,15339134,39380969
SPU,Solid Waste Fund,Solid Waste Fund,Other Non-Operating Revenue,,25154,650855.2828,628382.9803
SPU,Solid Waste Fund,Solid Waste Fund,Revenue Stabilization Subfund,,0,1568914.3745,-121512.5751
SPU,Water Fund,Water Fund,Reimbursements for Services for Other Departments,,70050,0,0
