Dept,FundName,RevenueTableCategory,RevenueSourceName,2017 Actuals,2018 Adopted,2019 Proposed,2020 Proposed
STCAR,Seattle Streetcar Operations Fund (10800),Donations and Service Contributions - South Lake Union,Transportation-Other Rev,,229000,237000,245000
STCAR,Seattle Streetcar Operations Fund (10800),Farebox Revenue - First Hill,Transportation-Other Rev,,124630,63197,65093
STCAR,Seattle Streetcar Operations Fund (10800),Farebox Revenue - South Lake Union,Transportation-Other Rev,,150346,106931,110139
STCAR,Seattle Streetcar Operations Fund (10800),FTA Funds - First Hill,Capital Contr-Fed Dir Grants,,258185,258064,258064
STCAR,Seattle Streetcar Operations Fund (10800),FTA Funds - South Lake Union,Capital Contr-Fed Dir Grants,,172123,172042,172123
STCAR,Seattle Streetcar Operations Fund (10800),Operating Transfer In - CPT,Operating Transfer In - CPT,,0,5611537,6150000
STCAR,Seattle Streetcar Operations Fund (10800),Operating Transfer In - Property Proceeds,Transfers In - Property Proceeds,,0,0,3602138
STCAR,Seattle Streetcar Operations Fund (10800),Operating Transfer In - Street Use Fees,Transfers In - Street Use Fees,,0,3500000,0
STCAR,Seattle Streetcar Operations Fund (10800),Sound Transit Funds - First Hill,Transportation-Other Rev,,5000000,5000000,5000000
STCAR,Seattle Streetcar Operations Fund (10800),Sponsorship - First Hill,Other Private Contrib & Donations,,200000,58500,60255
STCAR,Seattle Streetcar Operations Fund (10800),Sponsorship - South Lake Union,Other Private Contrib & Donations,,317440,255500,263165
STCAR,Seattle Streetcar Operations Fund (10800),Use of Fund Balance,Use of Fund Balance,,-791724,-399342,-4208750
CEN,Seattle Center Fund (11410),Campus Grounds,Armory Concessions,,19800,19800,19800
CEN,Seattle Center Fund (11410),Access,Parking,,4865437,3889746,3758087
SPU,Water Fund,Water Fund,Other Operating Revenues,,2445232,2381682,2441224
FAS,Finance and Administrative Services Fund (50300),General Fund Support,Department Director,,0,282800,282800
FAS,Finance and Administrative Services Fund (50300),General Fund Support,Regulatory Compliance and Consumer Protection,,750000,0,0
FAS,Finance and Administrative Services Fund (50300),Services to City Depts,Fiscal Policy and Management,,176344,0,0
SPU,Drainage and Wastewater Fund,Drainage and Wastewater Fund,Operating Grants,,500000,1598154.6155,1598154.6155
FAS,Finance and Administrative Services Fund (50300),General Fund Support,Space Rent,,678638.2844,0,0
CEN,Seattle Center KeyArena Fund,KeyArena,KeyArena Miscellaneous,,654675,0,0
CEN,Seattle Center Fund (11410),Cultural Facilities,Leases - Cultural Facilities,,95121,124762,128256
FAS,Facility Asset Preservation Fund,Services to City Depts,Asset Preservation,,2152000,2152000,2152000
FAS,Finance and Administrative Services Fund (50300),Services to City Depts,Citywide Summit,,4440283,4381563.82,3402556.68
GSF,General Fund,Use of (Contribution to) Fund Balance,Use of (Contribution to) Fund Balance,,0,-64669000,-107962057
ITD,Information Technology Fund (50410),External Revenues,Rates,,363869.4725,0,0
FAS,Finance and Administrative Services Fund (50300),General Fund Support,Space Rent,,188963.7156,0,0
CEN,Seattle Center KeyArena Fund,KeyArena,KeyArena Reimbursables,,45365,0,0
OH,Low-Income Housing Fund (16400),Low-Income Housing Fund Revenues,Federal grants - CDBG,,1057278,1057278,1057278
FAS,Finance and Administrative Services Fund (50300),General Fund Support,Electronic Records,,463572,469430.83,158300.33
FAS,Finance and Administrative Services Fund (50300),Services to City Depts,Motor Pool,,912934,902589.53,911196.0539
FAS,Finance and Administrative Services Fund (50300),Services to City Depts,Space Rent,,1038996.066,0.0667,0
CEN,Seattle Center Fund (11410),Access,Monorail,,62424,61800,63530
CEN,Seattle Center Fund (11410),Commercial Events,Campus Commercial Events,,1000,0,0
SPU,Solid Waste Fund,Solid Waste Fund,Commercial Services,,60168171.5,63157449.1897,65300978.4449
FAS,Finance and Administrative Services Fund (50300),Services to City Depts,Citywide IT Services,,1253468,0,0
FAS,Finance and Administrative Services Fund (50300),External Revenues,Property Management Services,,126718,126718,126718
FAS,Finance and Administrative Services Fund (50300),Services to City Depts,Policy & Budget,,7856,0,0
CEN,Seattle Center Fund (11410),Access,Parking,,3621,4624,4735
CEN,Seattle Center Fund (11410),Administration,Seattle Center Fund,,145000,45000,45000
ITD,Information Technology Fund (50410),Use of (Contributions to) Fund Balance,Use of (Contributions to) Fund Balance,,3172484,-3855615,-328868
FAS,Finance and Administrative Services Fund (50300),Services to City Depts,Economics and Forecasting,,97509,120068.8,121011.13
FAS,Finance and Administrative Services Fund (50300),Services to City Depts,Electronic Records,,445929,451562.92,152274.67
CEN,Seattle Center Fund (11410),Access,Parking,,1419,0,0
FAS,Finance and Administrative Services Fund (50300),General Fund Support,Risk Management,,222519,0,0
FAS,Finance and Administrative Services Fund (50300),External Revenues,Space Rent,,105723,126693,126693
DPR,Park and Recreation Fund (10200),Miscellaneous Revenue,Concession Proceeds,,80000,80000,80000
FAS,Finance and Administrative Services Fund (50300),Services to City Depts,Space Rent,,3727040.934,-0.0667,0
ITD,Information Technology Fund (50410),City Agency - Non-GF,Technology Allocation,,96671202.3873,0,0
CEN,Seattle Center KeyArena Fund,KeyArena,KeyArena Miscellaneous,,50000,0,0
DPR,Park and Recreation Fund (10200),Charges for Services,Parking Fees,,68892,79192,79192
SPU,Drainage and Wastewater Fund,Drainage and Wastewater Fund,Capital Grants and Contributions (excluding donated assets),,1932018,1736000,1736000
CEN,Seattle Center Fund (11410),Festivals,Festivals,,238748,248096,248096
CEN,Seattle Center Fund (11410),Campus Grounds,Armory Concessions,,231405,241236,249516
FAS,Finance and Administrative Services Fund (50300),General Fund Support,Property Management Services,,165000,146250,90000
ITD,Information Technology Fund (50410),LTGO Bonds,Long-Term General Obligation (LTGO) Bonds - SRI Side Systems,,727000,0,0
FAS,Finance and Administrative Services Fund (50300),Services to City Depts,Distribution Services,,0,0,0
FAS,Finance and Administrative Services Fund (50300),General Fund Support,Claims Processing,,156624,0,0
SPU,Solid Waste Fund,Solid Waste Fund,Residential Services,,129878917,130420543.6074,136185610.791
SPU,Drainage and Wastewater Fund,Drainage and Wastewater Fund,Build America Bond  Interest Income,,1747993,1749474.29,1749474.29
FAS,Finance and Administrative Services Fund (50300),Services to City Depts,Distribution Services,,0,517808.82,520467.14
CEN,Seattle Center McCaw Hall Fund,McCaw Hall,McCaw Hall Miscellaneous,,96998,227585,229585
FAS,Finance and Administrative Services Fund (50300),Services to City Depts,Investments,,273395,419727.72,423089
CEN,Seattle Center Fund (11410),Commercial Events,Campus Commercial Events,,1040,0,0
DPR,Park and Recreation Fund (10200),Charges for Services,Athletic Facility Fees,,3718043,3858043,4038043
FAS,Finance and Administrative Services Fund (50300),Services to City Depts,Vehicle Leasing,,18945202,19007406.14,19255632.83
FAS,Finance and Administrative Services Fund (50300),External Revenues,Warehousing Services,,90000,90000,90000
SPU,Drainage and Wastewater Fund,Drainage and Wastewater Fund,ReLeaf reimbursement - SCL,,99602,244599.24,244599.24
FAS,Finance and Administrative Services Fund (50300),General Fund Support,Treasury Operations,,895940,50885.82,46536.76
SPU,Drainage and Wastewater Fund,Drainage and Wastewater Fund,SCL Fund (N4403),,821265,810073.66,810073.66
SPU,Water Fund,Water Fund,Decrease (Increase) in Working Capital,,2286605,-14707551,-16134911
FAS,Finance and Administrative Services Fund (50300),Services to City Depts,Citywide Summit,,0,12059.4,11567.53
FAS,Finance and Administrative Services Fund (50300),Services to City Depts,Facility Lease Management,,11012083,11122203.83,11122203.83
CRS,REET II Capital Projects Fund,Use of (Contribution to) Fund Balance,Use of (Contribution to) Fund Balance,,5650897,2648468,3371839
FAS,Finance and Administrative Services Fund (50300),Services to City Depts,Warehousing Services,,73231.3584,69392.05,70107.13
FBRL,Fiber Leasing Fund,Use of (Contributions to) Fund Balance,Use of (Contributions to) Fund Balance,,-3058.06,0,0
ITD,Information Technology Fund (50410),City Agency - GF,Technology Allocation (GF Depts),,47064942.6701,0,0
FAS,Finance and Administrative Services Fund (50300),Services to City Depts,Human Resources (CPI Charges),,7099,0,0
FAS,Finance and Administrative Services Fund (50300),Services to City Depts,Claims Processing,,500422,786371.86,793674.16
FAS,Finance and Administrative Services Fund (50300),General Fund Support,Customer Service Bureau,,334542,0,0
CEN,Seattle Center Fund (11410),Cultural Facilities,Leases - Cultural Facilities,,11000,12011,12347
CEN,Seattle Center Fund (11410),Campus Grounds,Leases - Campus Grounds,,6630,31500,32340
CEN,Seattle Center McCaw Hall Fund,McCaw Hall,McCaw Hall Miscellaneous,,139000,105000,75000
FAS,Finance and Administrative Services Fund (50300),Services to City Depts,Fiscal Policy and Management,,0,4571.26,4695.49
CEN,Seattle Center Fund (11410),Access,Monorail,,950000,801000,801000
FAS,Finance and Administrative Services Fund (50300),Services to City Depts,Distribution Services,,549900,768747.36,777090.97
SPU,Water Fund,Water Fund,Transfers from Construction Fund,,65298497,81649183,86191501
SPU,Water Fund,Water Fund,Revenue Stabilization Subfund - BPA Acct,,200000,100000,100000
FAS,Finance and Administrative Services Fund (50300),Services to City Depts,Facility Lease Management,,290000,292900,292900
FBRL,Fiber Leasing Fund,Miscellaneous Revenues,Miscellaneous Revenues,,0,0,0
ITD,Information Technology Fund (50410),City Agency - GF,Rates (GF Depts),,3370152.3619,0,0
FBRL,Fiber Leasing Fund,Lease Fees,Lease Fees,,7161.86,0,0
SPU,Drainage and Wastewater Fund,Drainage and Wastewater Fund,Call Center Reimbursement from SCL,,1702341,2157193.2499,2243480.9799
SPU,Water Fund,Water Fund,Call Center Reimbursement from SCL,,1753928,2164361,2218470
FAS,Finance and Administrative Services Fund (50300),Services to City Depts,Warehousing Services,,285643.0233,237341.92,239788.14
CEN,Seattle Center Fund (11410),Commercial Events,Campus Commercial Events,,598347,618113,632631
FAS,Finance and Administrative Services Fund (50300),External Revenues,Space Rent,,855393,1018191,1018191
FAS,Finance and Administrative Services Fund (50300),Services to City Depts,Property Management Services,,103000,104030,104030
CEN,Seattle Center KeyArena Fund,KeyArena,KeyArena Rent,,0,0,0
FAS,Finance and Administrative Services Fund (50300),Services to City Depts,Citywide Accounting,,918021,982457.3,992408.83
FAS,Finance and Administrative Services Fund (50300),External Revenues,Parking Fees,,2400000,3469917,3469917
SPU,Water Fund,Water Fund,Retail Water Sales,,197274056,198315776,205027737
CEN,Seattle Center Fund (11410),Access,Parking,,1405314,1892091,2076091
FAS,Finance and Administrative Services Fund (50300),External Revenues,Space Rent,,899000,196415,158469
FAS,Finance and Administrative Services Fund (50300),Services to City Depts,Warehousing Services,,66164.3216,56677.16,57392.24
SPU,Water Fund,Water Fund,Tap Fees,,6746810,7777020,7874232
ITD,Information Technology Fund (50410),LTGO Bonds,Long-Term General Obligation (LTGO) Bonds - App Dev SPD,,1094249,0,0
CRS,REET I Capital Projects Fund,Use of (Contribution to) Fund Balance,Use of (Contribution to) Fund Balance,,7048020,4093606,-31598
CEN,Seattle Center McCaw Hall Fund,McCaw Hall,McCaw Hall Miscellaneous,,0,0,0
FAS,Finance and Administrative Services Fund (50300),General Fund Support,Warehousing Services,,1594.9662,0,0
CEN,Seattle Center Fund (11410),Commercial Events,Campus Commercial Events,,60000,74833,74985
SPU,Drainage and Wastewater Fund,Drainage and Wastewater Fund,Wastewater Utility Services,,273069847,290223970.9976,315295715.0592
SPU,Water Fund,Water Fund,GF - Public Fire Hydrant Reimbursement,,9660773,9707088,10035622
SPU,Solid Waste Fund,Solid Waste Fund,"Operating Fees, Contributions and grants",,750000,750000,750000
FAS,Finance and Administrative Services Fund (50300),General Fund Support,Investments,,207073,137807.43,138911.36
SPU,Drainage and Wastewater Fund,Drainage and Wastewater Fund,Parks & Other City Depts. (N4405),,74440,128464.73,128464.73
FAS,Finance and Administrative Services Fund (50300),Services to City Depts,Debt Management,,248624,292155.63,294042.31
FAS,Finance and Administrative Services Fund (50300),General Fund Support,Regulatory Compliance and Consumer Protection,,0,1000000,1000000
CEN,Seattle Center McCaw Hall Fund,McCaw Hall,McCaw Hall Miscellaneous,,7000,6000,6000
FAS,Finance and Administrative Services Fund (50300),Services to City Depts,Vehicle Leasing,,0,162797.86,164461.33
CEN,Seattle Center Fund (11410),Administration,CIP,,1533226,0,0
FAS,Finance and Administrative Services Fund (50300),Services to City Depts,FAS Accounting,,6737,0,0
FAS,Finance and Administrative Services Fund (50300),Services to City Depts,Treasury Operations,,2372359,3959127.28,3693807.35
FAS,Finance and Administrative Services Fund (50300),Services to City Depts,Motor Pool,,121797,0,0
SPU,Water Fund,Water Fund,Rentals--Non-City,,615738,631132,646910
FAS,Finance and Administrative Services Fund (50300),Services to City Depts,Fiscal Policy and Management,,641813,975286.3,981701.82
CEN,Seattle Center KeyArena Fund,KeyArena,KeyArena Miscellaneous,,16000,0,0
FAS,Finance and Administrative Services Fund (50300),External Revenues,Treasury Operations,,200000,200000,200000
FAS,Finance and Administrative Services Fund (50300),External Revenues,Treasury Operations,,200000,200000,200000
SPU,Solid Waste Fund,Solid Waste Fund,Recycling and Disposal Station Charges,,10224741,11790402.3407,11822362.6696
ITD,Information Technology Fund (50410),Cable Fund,Cable Fund Allocation,,9559960.311,0,0
SPU,Water Fund,Water Fund,Wholesale Water Sales,,62639423,56939501,58467553
CEN,Seattle Center Fund (11410),Cultural Facilities,Leases - Cultural Facilities,,1580928,1745007,1775235
CEN,Seattle Center Fund (11410),Campus Grounds,Leases - Campus Grounds,,119233,147736,150623
SPU,Solid Waste Fund,Solid Waste Fund,KC Reimb for Local Hzrd Waste Mgt Prgm,,2836879,3212965,3379138
ITD,Information Technology Fund (50410),City Agency - Non-GF,Rates,,3766775.5137,0,0
CEN,Seattle Center Fund (11410),Campus Grounds,Leases - Campus Grounds,,1311606,1070942,1106949
FAS,Finance and Administrative Services Fund (50300),General Fund Support,Warehousing Services,,2074.3024,0,0
SPU,Solid Waste Fund,Solid Waste Fund,Recyling Processing Revenues,,7154782,5828807.7721,5967320.482
CEN,Seattle Center KeyArena Fund,KeyArena,KeyArena Rent,,2002153,0,0
SPU,Solid Waste Fund,Solid Waste Fund,Call Center Reimbursement from SCL,,1702340.5,2096801.0444,2149221.0705
ITD,Information Technology Fund (50410),Finance-External,Interest Earnings,,278993.5484,0,0
SPU,Solid Waste Fund,Solid Waste Fund,Decrease (Increase) in Working Capital,,1131052,-11588259,-10539357
DPR,Park and Recreation Fund (10200),Charges for Services,Recreation Admission Fees,,2083858,2237644,2487305
CEN,Seattle Center Fund (11410),Campus Grounds,Armory Concessions,,341121,407019,415110
SPU,Water Fund,Water Fund,Other Non-Operating Revenue,,448438,309213,311267
SPU,Drainage and Wastewater Fund,Drainage and Wastewater Fund,Drainage Utility Services,,126968005,141449337,152715507
FAS,Finance and Administrative Services Fund (50300),Services to City Depts,CPCS Contracting Operations,,5039949,5541614.47,5189721.38
FAS,Finance and Administrative Services Fund (50300),Services to City Depts,Economics and Forecasting,,0,562.57,578.73
FBRL,Fiber Leasing Fund,Fund Management Fees,Fund Management Fees,,896.2,0,0
ITD,Information Technology Fund (50410),City Agency - Non-GF,Rates - Citywide Department Specific Inititiatives,,33498371.7064,0,0
CEN,Seattle Center Fund (11410),Administration,Administration,,700,0,0
ITD,Information Technology Fund (50410),Special Project Billings,Special Project Billings,,23348447.6052,0,1504531.9999
SPU,Drainage and Wastewater Fund,Drainage and Wastewater Fund,Other Operating Revenues,,426607,2446742.5375,2451359.0972
FAS,Finance and Administrative Services Fund (50300),Services to City Depts,Space Rent,,545000,550450,550450
FAS,Finance and Administrative Services Fund (50300),Services to City Depts,Citywide Accounting,,247570,163646.26,165302.66
FAS,Finance and Administrative Services Fund (50300),External Revenues,Warehousing Services,,11000,11000,11000
CEN,Seattle Center KeyArena Fund,KeyArena,KeyArena Reimbursables,,66411,0,0
CEN,Seattle Center KeyArena Fund,KeyArena,KeyArena Reimbursables,,20000,0,0
CEN,Seattle Center Fund (11410),Community Programs,Seattle Center Productions,,17500,12000,12000
CEN,Seattle Center McCaw Hall Fund,McCaw Hall,McCaw Hall Miscellaneous,,5500,5000,5000
DPR,Park and Recreation Fund (10200),Charges for Services,Sales Of Merchandise,,27284,27284,27284
CEN,Seattle Center Fund (11410),Administration,Administration,,30000,40000,40000
FAS,Finance and Administrative Services Fund (50300),Services to City Depts,Department Director,,12402,0,0
CEN,Seattle Center Fund (11410),Campus Grounds,Leases - Campus Grounds,,191608,203375,203375
CEN,Seattle Center Fund (11410),Community Programs,Campus Sponsorships,,450000,0,0
CEN,Seattle Center Fund (11410),Commercial Events,Campus Commercial Events,,1015525,1004382,1062266
SPU,Drainage and Wastewater Fund,Drainage and Wastewater Fund,Transfer from Construction Fund,,131432394,142484389.1494,169466890.8167
SPU,Drainage and Wastewater Fund,Drainage and Wastewater Fund,SDOT Fund (N4404),,2555941,3552370,13552370
FAS,Facility Asset Preservation Fund,Services to City Depts,Asset Preservation,,1848000,1848000,1848000
SCL,Light Fund,Transfers,Use of (contribution to) Fund Balance,,340424386,289957397,287571684
FAS,Finance and Administrative Services Fund (50300),General Fund Support,Encampment Clean-up,,1386392,1324697,1324306
FAS,Finance and Administrative Services Fund (50300),General Fund Support,FAS Accounting,,76725,0,0
CEN,Seattle Center KeyArena Fund,KeyArena,KeyArena Rent,,-1143350,0,0
FAS,Finance and Administrative Services Fund (50300),Services to City Depts,Risk Management,,715510,1079693.03,1102428.13
FAS,Finance and Administrative Services Fund (50300),General Fund Support,Warehousing Services,,4024.7314,0,0
FAS,Finance and Administrative Services Fund (50300),Services to City Depts,Customer Service Bureau,,594570,2110487.92,2135176.36
FAS,Finance and Administrative Services Fund (50300),Services to City Depts,Warehousing Services,,371487.5016,193853.34,196299.56
CEN,Seattle Center Fund (11410),Festivals,Festivals,,545843,359000,360000
FAS,Finance and Administrative Services Fund (50300),Services to City Depts,Warehousing Services,,184780.32,246409.7,247260.12
SPU,Drainage and Wastewater Fund,Drainage and Wastewater Fund,Decrease (Increase) in Working Capital,,30720909,49323629,60254365
ITD,Information Technology Fund (50410),LTGO Bonds,Long-Term General Obligation (LTGO) Bonds - MCIS,,5349000,0,0
FAS,Finance and Administrative Services Fund (50300),Services to City Depts,CPCS Contracting Operations,,0,814456.93,765298.21
ITD,Information Technology Fund (50410),General Subfund Support,Technology Allocation (pure GF),,21206182.3604,0,0
CEN,Seattle Center Fund (11410),Campus Grounds,Leases - Campus Grounds,,55058,47102,47102
DEEL,Preschool Services Fund (17861),Levy Programs - SPP,Use of (Contribution to) Fund Balance,,3541948,15324578,0
FAS,Finance and Administrative Services Fund (50300),General Fund Support,Remittance Processing,,236262,142819.05,144264.36
SPU,Water Fund,Water Fund,Revenue Stabilization Subfund,,3000000,14800000,1200000
SPU,Drainage and Wastewater Fund,Drainage and Wastewater Fund,Drainage Permit Fees,,285645,526683,526683
CEN,Seattle Center Fund (11410),Community Programs,Seattle Center Productions,,64500,722900,622900
CEN,Seattle Center Fund (11410),Community Programs,Seattle Center Productions,,33000,52000,52000
FISC-RSRV,Revenue Stabilization Fund,Use of (Contribution to) Fund Balance,Use of (Contribution to) Fund Balance,,-3850594,-2798924,-2667960
FAS,Finance and Administrative Services Fund (50300),Services to City Depts,Citywide IT Services,,29110,0,0
OH,Office of Housing Fund (16600),Operating Fund Revenues,Federal grants - CDBG,,491349,387731,387731
CEN,Seattle Center KeyArena Fund,KeyArena,KeyArena Reimbursables,,3824842,0,0
ETH,Election Vouchers Fund,Use of (contribution to) Fund Balance,Real and Personal Property Tax,,0,2456062,-2285828
FAS,Finance and Administrative Services Fund (50300),Services to City Depts,Space Rent,,10855149.0718,14421537.5725,14595483.4257
DEEL,2011 Families and Education Levy (17857),Levy Programs - FEL,Use of (Contribution to) Fund Balance,,6289254,27717493,0
FAS,Finance and Administrative Services Fund (50300),Services to City Depts,Remittance Processing,,752281,887550.63,896530.54
SPU,Solid Waste Fund,Solid Waste Fund,Other Operating Revenue,,27177,0,0
FISC-RSRV,Emergency Fund,Use of (Contribution to) Fund Balance,Use of (Contribution to) Fund Balance,,-1542358,-1398188,-1753708
PPEN,Police Relief & Pension Fund,Use of (Contribution to) Fund Balance,Use of (Contribution to) Fund Balance,,257288,257288,257288
CEN,Seattle Center Fund (11410),Cultural Facilities,Leases - Cultural Facilities,,13770,15655,16094
CRS,Unrestricted Cumulative Reserve Fund,Use of (Contribution to) Fund Balance,Use of (Contribution to) Fund Balance,,-1994325,-216941,-341683
FAS,Finance and Administrative Services Fund (50300),Services to City Depts,Human Resources (CPI Charges),,97815,0,0
FAS,Finance and Administrative Services Fund (50300),External Revenues,Property Management Services,,139000,0,0
FAS,Finance and Administrative Services Fund (50300),Services to City Depts,Warehousing Services,,720790.4751,842797.53,845704.31
SPU,Water Fund,Water Fund,Facilities Charges,,450000,347400,347400
SPU,Solid Waste Fund,Solid Waste Fund,Comm'l Disposal (Longhaul) Charges,,780267,993145.453,1021169.764
FAS,Finance and Administrative Services Fund (50300),General Fund Support,Fiscal Policy and Management,,902575,628946.19,637338.28
FAS,Finance and Administrative Services Fund (50300),General Fund Support,Economics and Forecasting,,75569,77431.65,78559.82
FAS,Finance and Administrative Services Fund (50300),General Fund Support,Debt Management,,95635,112367.55,113092.73
FAS,Finance and Administrative Services Fund (50300),Services to City Depts,Treasury Operations,,0,67099.35,67355.89
CEN,Seattle Center McCaw Hall Fund,McCaw Hall,McCaw Hall Miscellaneous,,13600,34000,34000
FAS,Finance and Administrative Services Fund (50300),External Revenues,Space Rent,,20000,20000,20000
DEEL,FEPP Levy,Levy Programs - FEPP,Use of (Contribution to) Fund Balance,,0,-44962730,-6141304
ITD,Information Technology Fund (50410),City Agency - GF,Rates (GF Depts) - Citywide Department Specific Inititiatives,,3536818.3668,0,0
SPU,Solid Waste Fund,Solid Waste Fund,Transfers from Construction Fund,,0,8845642.6675,25800241.4572
SPU,Drainage and Wastewater Fund,Drainage and Wastewater Fund,Side Sewer Permit Fees,,1703946,1312890.62,1317507.1797
SPU,Water Fund,Water Fund,Build America Bond  Interest Income,,1983904,1983904,2080414
FAS,Finance and Administrative Services Fund (50300),General Fund Support,Distribution Services,,440103,0,0
CEN,Seattle Center Fund (11410),Commercial Events,Campus Commercial Events,,2500,0,0
CEN,Seattle Center Fund (11410),Campus Grounds,Leases - Campus Grounds,,110920,82764,84196
CEN,Seattle Center Fund (11410),Campus Grounds,Armory Concessions,,672754,633118,633118
CEN,Seattle Center McCaw Hall Fund,McCaw Hall,McCaw Hall Miscellaneous,,23000,42000,42000
FAS,Finance and Administrative Services Fund (50300),Services to City Depts,Citywide Summit,,9066,0,0
SPU,Drainage and Wastewater Fund,Drainage and Wastewater Fund,CGDB Reimbursements (N2418),,2159788,0,0
FAS,Finance and Administrative Services Fund (50300),Services to City Depts,Space Rent,,38928858.9282,41994327.3475,41252569.9167
FAS,Finance and Administrative Services Fund (50300),General Fund Support,Citywide Summit,,4559368,3901194.69,3232775.68
CEN,Seattle Center Fund (11410),Administration,CIP,,5000,0,0
FAS,Finance and Administrative Services Fund (50300),General Fund Support,FAS Accounting,,76473,198801.33,200944.55
SPU,Water Fund,Water Fund,Capital Grants and Contributions,,12907729,15747358,15993658
